STAIDT,site_no,STATION_NAME,LATITUDE,LONGITUDE,FINAL_REFERENCE,DA_SQKM,NHDV2_COMID
T11046350,11046350,CRISTIANITOS C NR SAN CLEMENTE CA,33.44919422,-117.5711578,N,29,20350845
T11046360,11046360,CRISTIANITOS C AB SAN MATEO C NR SAN CLEMENTE CA,33.42641717,-117.5703242,N,31.6,20350869
T11046370,11046370,SAN MATEO C A SAN ONOFRE CA,33.39114058,-117.5906024,N,132,20351619
T11046500,11046500,SAN JUAN C NR SAN JUAN CAPISTRANO CA,33.51891459,-117.6250493,Y,106,20350533
T11046501,11046501,SAN JUAN C AND CWC CANAL NR SAN JUAN CAPISTRANO CA,33.49169349,-117.6631063,NA,117,948070434
T11046530,11046530,SAN JUAN C AT LA NOVIA ST BR AT SAN JUAN CAPIS CA,33.5025264,-117.6481058,N,109,20348919
T11046550,11046550,SAN JUAN C AT SAN JUAN CAPISTRANO CA,33.49169349,-117.6631063,N,117,948070434
T11047000,11047000,ARROYO TRABUCO NR SAN JUAN CAPISTRANO CA,33.52669241,-117.6697733,N,35.7,20350529
T11047200,11047200,OSO C A CROWN VALLEY PKWY NR MISSION VIEJO CA,33.55808028,-117.6767179,N,14,20348813
T11047300,11047300,ARROYO TRABUCO A SAN JUAN CAPISTRANO CA,33.49835999,-117.6658843,N,54.1,20350681
T11047500,11047500,ALISO C A EL TORO CA,33.62613356,-117.6850513,N,7.91,20350507
T11047700,11047700,ALISO C A SOUTH LAGUNA CA,33.51197121,-117.747832,N,34.4,20350539
T11048000,11048000,PETERS CYN WASH NR TUSTIN CA,33.67502016,-117.835611,N,92,20355396
T11048200,11048200,AGUA CHINON WASH NR IRVINE CA,33.67890959,-117.7142187,Y,2.85,20355400
T11048400,11048400,MARSHBURN CHANNEL NR IRVINE CA,33.68390946,-117.7453307,NA,NA,20357218
T11048500,11048500,SAN DIEGO C AT CULVER DR NR IRVINE CA,33.68168682,-117.8094992,N,41.8,20355428
T11048530,11048530,EL MODINA-IRVINE CH A MYFORD RD NR TUSTIN CA,33.7136302,-117.8011654,NA,NA,20355332
T11048550,11048550,SAN DIEGO C A LANE RD NR IRVINE CA,33.672798,-117.8358888,N,NA,20355412
T11048553,11048553,SAND CYN C A IRVINE CA,33.65724307,-117.8275553,Y,7.06,20355480
T11048555,11048555,SAN DIEGO C A CAMPUS DR NR IRVINE CA,33.65557629,-117.8456113,N,111,20355472
T11048600,11048600,BONITA C A IRVINE CA,33.64502095,-117.8611673,N,5.39,20355520
T11049500,11049500,SCE SANTA ANA R CN AB PP3 NR MENTONE CA,34.11362248,-117.0964244,NA,NA,22558244
T11051499,11051499,SANTA ANA R NR MENTONE (RIVER ONLY) CA,34.10834489,-117.1005912,N,210,22558244
T11051500,11051500,SANTA ANA R NR MENTONE CA,34.10834489,-117.1005911,N,210,22558244
T11051501,11051501,SANTA ANA R NR MENTONE CN + CN CA,34.10834489,-117.1005911,NA,NA,22558244
T11051502,11051502,SAR SUPP GAGE NR MENTONE CA,34.10834489,-117.1005912,NA,NA,22558244
T11051600,11051600,SANTA ANA R SPREADING DIV NR MENTONE CA,34.10334508,-117.111147,NA,NA,22555976
T11052500,11052500,MILL C POWER CANALS 2 AND 3 NR YUCAIPA CA,34.08973426,-117.0144759,NA,NA,22556110
T11052504,11052504,MILL C CANALS NR YUCAIPA CA,34.09084538,-117.0347546,NA,NA,22556090
T11053000,11053000,MILL C POWER CN NO 1 NR YUCAIPA CA,34.09112315,-117.0372547,NA,NA,22556090
T11054000,11054000,MILL C NR YUCAIPA CA,34.09084538,-117.0375325,N,42.4,22556090
T11054001,11054001,MILL C NR YUCAIPA CA.+ CANALS CA,34.09084538,-117.0375325,NA,NA,22556090
